Product code,Station number,Year,Month,Monthly Precipitation Total (millimetres),Quality
IDCJAC0001,041034,1882,01,42.2,Y
IDCJAC0001,041034,1882,02,63.0,Y
IDCJAC0001,041034,1882,03,19.1,Y
IDCJAC0001,041034,1882,04,59.7,Y
IDCJAC0001,041034,1882,05,41.2,Y
IDCJAC0001,041034,1882,06,38.5,Y
IDCJAC0001,041034,1882,07,35.7,Y
IDCJAC0001,041034,1882,08,20.6,Y
IDCJAC0001,041034,1882,09,8.6,Y
IDCJAC0001,041034,1882,10,112.1,Y
IDCJAC0001,041034,1882,11,84.6,Y
IDCJAC0001,041034,1882,12,72.6,Y
IDCJAC0001,041034,1883,01,105.3,Y
IDCJAC0001,041034,1883,02,110.9,Y
IDCJAC0001,041034,1883,03,5.0,Y
IDCJAC0001,041034,1883,04,23.9,Y
IDCJAC0001,041034,1883,05,38.9,Y
IDCJAC0001,041034,1883,06,0.0,Y
IDCJAC0001,041034,1883,07,29.0,Y
IDCJAC0001,041034,1883,08,36.8,Y
IDCJAC0001,041034,1883,09,31.6,Y
IDCJAC0001,041034,1883,10,125.3,Y
IDCJAC0001,041034,1883,11,34.8,Y
IDCJAC0001,041034,1883,12,37.6,Y
IDCJAC0001,041034,1884,01,51.5,Y
IDCJAC0001,041034,1884,02,45.2,Y
IDCJAC0001,041034,1884,03,40.6,Y
IDCJAC0001,041034,1884,04,24.4,Y
IDCJAC0001,041034,1884,05,80.1,Y
IDCJAC0001,041034,1884,06,63.5,Y
IDCJAC0001,041034,1884,07,73.5,Y
IDCJAC0001,041034,1884,08,13.6,Y
IDCJAC0001,041034,1884,09,33.5,Y
IDCJAC0001,041034,1884,10,53.1,Y
IDCJAC0001,041034,1884,11,83.9,Y
IDCJAC0001,041034,1884,12,80.0,Y
IDCJAC0001,041034,1885,01,96.1,Y
IDCJAC0001,041034,1885,02,64.5,Y
IDCJAC0001,041034,1885,03,31.1,Y
IDCJAC0001,041034,1885,04,5.6,Y
IDCJAC0001,041034,1885,05,21.1,Y
IDCJAC0001,041034,1885,06,58.4,Y
IDCJAC0001,041034,1885,07,18.8,Y
IDCJAC0001,041034,1885,08,3.0,Y
IDCJAC0001,041034,1885,09,23.1,Y
IDCJAC0001,041034,1885,10,18.5,Y
IDCJAC0001,041034,1885,11,72.7,Y
IDCJAC0001,041034,1885,12,79.9,Y
IDCJAC0001,041034,1886,01,71.9,Y
IDCJAC0001,041034,1886,02,14.2,Y
IDCJAC0001,041034,1886,03,79.3,Y
IDCJAC0001,041034,1886,04,37.6,Y
IDCJAC0001,041034,1886,05,173.0,Y
IDCJAC0001,041034,1886,06,107.2,Y
IDCJAC0001,041034,1886,07,77.2,Y
IDCJAC0001,041034,1886,08,112.4,Y
IDCJAC0001,041034,1886,09,54.1,Y
IDCJAC0001,041034,1886,10,91.5,Y
IDCJAC0001,041034,1886,11,96.4,Y
IDCJAC0001,041034,1886,12,29.9,Y
IDCJAC0001,041034,1887,01,140.5,Y
IDCJAC0001,041034,1887,02,102.9,Y
IDCJAC0001,041034,1887,03,37.1,Y
IDCJAC0001,041034,1887,04,25.7,Y
IDCJAC0001,041034,1887,05,28.4,Y
IDCJAC0001,041034,1887,06,31.4,Y
IDCJAC0001,041034,1887,07,86.9,Y
IDCJAC0001,041034,1887,08,95.2,Y
IDCJAC0001,041034,1887,09,60.8,Y
IDCJAC0001,041034,1887,10,27.0,Y
IDCJAC0001,041034,1887,11,66.9,Y
IDCJAC0001,041034,1887,12,64.5,Y
IDCJAC0001,041034,1888,01,48.4,Y
IDCJAC0001,041034,1888,02,145.5,Y
IDCJAC0001,041034,1888,03,17.0,Y
IDCJAC0001,041034,1888,04,0.0,Y
IDCJAC0001,041034,1888,05,6.6,Y
IDCJAC0001,041034,1888,06,4.8,Y
IDCJAC0001,041034,1888,07,2.5,Y
IDCJAC0001,041034,1888,08,11.4,Y
IDCJAC0001,041034,1888,09,36.6,Y
IDCJAC0001,041034,1888,10,42.1,Y
IDCJAC0001,041034,1888,11,45.9,Y
IDCJAC0001,041034,1888,12,100.6,Y
