Product code,Bureau of Meteorology station number,Year,Month,Mean maximum temperature (°C),Quality
IDCJAC0002,041100,1969,05,19.3,Y
IDCJAC0002,041100,1969,06,18.0,Y
IDCJAC0002,041100,1969,07,19.4,Y
IDCJAC0002,041100,1969,08,21.7,Y
IDCJAC0002,041100,1969,09,19.6,Y
IDCJAC0002,041100,1969,10,26.2,Y
IDCJAC0002,041100,1969,11,27.8,Y
IDCJAC0002,041100,1969,12,32.1,Y
IDCJAC0002,041100,1970,05,20.7,Y
IDCJAC0002,041100,1970,06,19.8,Y
IDCJAC0002,041100,1970,07,19.1,Y
IDCJAC0002,041100,1970,08,20.2,Y
IDCJAC0002,041100,1970,09,21.2,Y
IDCJAC0002,041100,1970,10,26.7,Y
IDCJAC0002,041100,1970,11,28.4,Y
IDCJAC0002,041100,1970,12,29.7,Y
IDCJAC0002,041100,1971,01,30.5,Y
IDCJAC0002,041100,1971,02,30.1,Y
IDCJAC0002,041100,1971,03,29.9,Y
IDCJAC0002,041100,1971,04,26.6,Y
IDCJAC0002,041100,1971,05,21.9,Y
IDCJAC0002,041100,1971,06,19.6,Y
IDCJAC0002,041100,1971,07,17.5,Y
IDCJAC0002,041100,1971,08,20.1,Y
IDCJAC0002,041100,1971,09,23.0,Y
IDCJAC0002,041100,1971,10,27.9,Y
IDCJAC0002,041100,1971,11,28.2,Y
IDCJAC0002,041100,1971,12,30.4,Y
IDCJAC0002,041100,1972,01,30.4,Y
IDCJAC0002,041100,1972,02,29.7,Y
IDCJAC0002,041100,1972,03,30.9,Y
IDCJAC0002,041100,1972,04,26.2,Y
IDCJAC0002,041100,1972,05,22.8,Y
IDCJAC0002,041100,1972,06,20.6,Y
IDCJAC0002,041100,1972,07,18.9,Y
IDCJAC0002,041100,1972,08,20.6,Y
IDCJAC0002,041100,1972,09,25.5,Y
IDCJAC0002,041100,1972,10,26.9,Y
IDCJAC0002,041100,1972,11,30.0,Y
IDCJAC0002,041100,1972,12,36.9,Y
IDCJAC0002,041100,1973,01,33.5,Y
IDCJAC0002,041100,1973,02,32.3,Y
IDCJAC0002,041100,1973,03,32.1,Y
IDCJAC0002,041100,1973,04,29.0,Y
IDCJAC0002,041100,1973,05,25.3,Y
IDCJAC0002,041100,1973,06,20.3,Y
IDCJAC0002,041100,1973,07,20.6,Y
IDCJAC0002,041100,1973,08,20.7,Y
IDCJAC0002,041100,1973,09,24.7,Y
IDCJAC0002,041100,1973,10,28.1,Y
IDCJAC0002,041100,1973,11,30.8,Y
IDCJAC0002,041100,1973,12,32.7,Y
IDCJAC0002,041100,1974,01,31.9,Y
IDCJAC0002,041100,1974,02,34.4,Y
IDCJAC0002,041100,1974,03,31.3,Y
IDCJAC0002,041100,1974,04,28.2,Y
IDCJAC0002,041100,1974,05,22.7,Y
IDCJAC0002,041100,1974,06,19.9,Y
IDCJAC0002,041100,1974,07,18.4,Y
IDCJAC0002,041100,1974,08,18.9,Y
IDCJAC0002,041100,1974,09,21.3,Y
IDCJAC0002,041100,1974,10,25.0,Y
IDCJAC0002,041100,1974,11,27.3,Y
IDCJAC0002,041100,1974,12,33.5,Y
IDCJAC0002,041100,1975,01,32.8,Y
IDCJAC0002,041100,1975,02,30.2,Y
IDCJAC0002,041100,1975,03,29.0,Y
IDCJAC0002,041100,1975,04,26.1,Y
IDCJAC0002,041100,1975,05,23.7,Y
IDCJAC0002,041100,1975,06,19.0,Y
IDCJAC0002,041100,1975,07,19.6,Y
IDCJAC0002,041100,1975,08,19.6,Y
IDCJAC0002,041100,1975,09,23.3,Y
IDCJAC0002,041100,1975,10,24.6,Y
IDCJAC0002,041100,1975,11,30.4,Y
IDCJAC0002,041100,1975,12,31.5,Y
IDCJAC0002,041100,1976,01,31.2,Y
IDCJAC0002,041100,1976,02,28.4,Y
IDCJAC0002,041100,1976,03,30.5,Y
IDCJAC0002,041100,1976,04,27.0,Y
IDCJAC0002,041100,1976,05,23.6,Y
IDCJAC0002,041100,1976,06,19.5,Y
IDCJAC0002,041100,1976,07,19.5,Y
IDCJAC0002,041100,1976,08,19.5,Y
IDCJAC0002,041100,1976,09,22.2,Y
IDCJAC0002,041100,1976,10,23.9,Y
IDCJAC0002,041100,1976,11,29.9,Y
