Product code,Bureau of Meteorology station number,Year,Month,Mean minimum temperature (°C),Quality
IDCJAC0004,041100,1969,05,9.5,Y
IDCJAC0004,041100,1969,06,4.7,Y
IDCJAC0004,041100,1969,07,5.6,Y
IDCJAC0004,041100,1969,08,6.7,Y
IDCJAC0004,041100,1969,09,5.6,Y
IDCJAC0004,041100,1969,10,12.8,Y
IDCJAC0004,041100,1969,11,13.1,Y
IDCJAC0004,041100,1969,12,17.4,Y
IDCJAC0004,041100,1970,05,5.6,Y
IDCJAC0004,041100,1970,06,3.6,Y
IDCJAC0004,041100,1970,07,0.8,Y
IDCJAC0004,041100,1970,08,3.0,Y
IDCJAC0004,041100,1970,09,7.8,Y
IDCJAC0004,041100,1970,10,12.2,Y
IDCJAC0004,041100,1970,11,14.2,Y
IDCJAC0004,041100,1970,12,17.9,Y
IDCJAC0004,041100,1971,01,17.7,Y
IDCJAC0004,041100,1971,02,18.8,Y
IDCJAC0004,041100,1971,03,15.1,Y
IDCJAC0004,041100,1971,04,9.5,Y
IDCJAC0004,041100,1971,05,4.8,Y
IDCJAC0004,041100,1971,06,1.6,Y
IDCJAC0004,041100,1971,07,1.4,Y
IDCJAC0004,041100,1971,08,5.1,Y
IDCJAC0004,041100,1971,09,8.1,Y
IDCJAC0004,041100,1971,10,10.7,Y
IDCJAC0004,041100,1971,11,12.0,Y
IDCJAC0004,041100,1971,12,15.9,Y
IDCJAC0004,041100,1972,01,15.9,Y
IDCJAC0004,041100,1972,02,15.6,Y
IDCJAC0004,041100,1972,03,14.1,Y
IDCJAC0004,041100,1972,04,10.1,Y
IDCJAC0004,041100,1972,05,7.4,Y
IDCJAC0004,041100,1972,06,3.4,Y
IDCJAC0004,041100,1972,07,-1.1,Y
IDCJAC0004,041100,1972,08,6.0,Y
IDCJAC0004,041100,1972,09,7.7,Y
IDCJAC0004,041100,1972,10,12.0,Y
IDCJAC0004,041100,1972,11,15.2,Y
IDCJAC0004,041100,1972,12,17.9,Y
IDCJAC0004,041100,1973,01,19.4,Y
IDCJAC0004,041100,1973,02,19.9,Y
IDCJAC0004,041100,1973,03,15.7,Y
IDCJAC0004,041100,1973,04,11.7,Y
IDCJAC0004,041100,1973,05,6.6,Y
IDCJAC0004,041100,1973,06,6.6,Y
IDCJAC0004,041100,1973,07,8.0,Y
IDCJAC0004,041100,1973,08,6.9,Y
IDCJAC0004,041100,1973,09,9.8,Y
IDCJAC0004,041100,1973,10,12.8,Y
IDCJAC0004,041100,1973,11,14.5,Y
IDCJAC0004,041100,1973,12,16.9,Y
IDCJAC0004,041100,1974,01,18.8,Y
IDCJAC0004,041100,1974,02,18.1,Y
IDCJAC0004,041100,1974,03,15.5,Y
IDCJAC0004,041100,1974,04,13.3,Y
IDCJAC0004,041100,1974,05,7.1,Y
IDCJAC0004,041100,1974,06,3.8,Y
IDCJAC0004,041100,1974,07,2.5,Y
IDCJAC0004,041100,1974,08,3.9,Y
IDCJAC0004,041100,1974,09,6.9,Y
IDCJAC0004,041100,1974,10,10.9,Y
IDCJAC0004,041100,1974,11,12.5,Y
IDCJAC0004,041100,1974,12,16.1,Y
IDCJAC0004,041100,1975,01,18.6,Y
IDCJAC0004,041100,1975,02,18.2,Y
IDCJAC0004,041100,1975,03,16.5,Y
IDCJAC0004,041100,1975,04,11.4,Y
IDCJAC0004,041100,1975,05,6.3,Y
IDCJAC0004,041100,1975,06,4.2,Y
IDCJAC0004,041100,1975,07,5.9,Y
IDCJAC0004,041100,1975,08,6.2,Y
IDCJAC0004,041100,1975,09,9.6,Y
IDCJAC0004,041100,1975,10,11.3,Y
IDCJAC0004,041100,1975,11,14.7,Y
IDCJAC0004,041100,1975,12,18.3,Y
IDCJAC0004,041100,1976,01,18.8,Y
IDCJAC0004,041100,1976,02,17.4,Y
