Product code,Station number,Year,Month,Monthly Precipitation Total (millimetres),Quality
IDCJAC0001,062101,1994,07,39.6,N
IDCJAC0001,062101,1994,08,1.2,N
IDCJAC0001,062101,1994,09,1.8,N
IDCJAC0001,062101,1994,10,16.4,N
IDCJAC0001,062101,1994,11,88.8,N
IDCJAC0001,062101,1994,12,43.2,N
IDCJAC0001,062101,1995,01,114.0,N
IDCJAC0001,062101,1995,02,30.4,N
IDCJAC0001,062101,1995,03,2.0,N
IDCJAC0001,062101,1995,04,2.0,N
IDCJAC0001,062101,1995,05,124.0,N
IDCJAC0001,062101,1995,06,17.6,N
IDCJAC0001,062101,1995,07,45.6,N
IDCJAC0001,062101,1995,08,1.0,N
IDCJAC0001,062101,1995,09,76.4,N
IDCJAC0001,062101,1995,10,17.2,N
IDCJAC0001,062101,1995,11,59.2,N
IDCJAC0001,062101,1995,12,196.0,N
IDCJAC0001,062101,1996,01,195.6,N
IDCJAC0001,062101,1996,02,12.0,N
IDCJAC0001,062101,1996,03,39.0,N
IDCJAC0001,062101,1996,04,0.8,N
IDCJAC0001,062101,1996,05,46.4,N
IDCJAC0001,062101,1996,06,1.4,N
IDCJAC0001,062101,1996,07,10.0,N
IDCJAC0001,062101,1996,08,66.8,N
IDCJAC0001,062101,1996,09,98.4,N
IDCJAC0001,062101,1996,10,51.0,N
IDCJAC0001,062101,1996,11,94.8,N
IDCJAC0001,062101,1996,12,147.2,N
IDCJAC0001,062101,1997,01,54.2,N
IDCJAC0001,062101,1997,02,84.0,N
IDCJAC0001,062101,1997,03,19.6,N
IDCJAC0001,062101,1997,04,1.0,N
IDCJAC0001,062101,1997,05,0.8,N
IDCJAC0001,062101,1997,06,22.2,N
IDCJAC0001,062101,1997,07,33.0,N
IDCJAC0001,062101,1997,08,14.6,N
IDCJAC0001,062101,1997,09,74.6,N
IDCJAC0001,062101,1997,10,42.2,N
IDCJAC0001,062101,1997,11,9.4,N
IDCJAC0001,062101,1997,12,39.2,N
IDCJAC0001,062101,1998,01,110.2,N
IDCJAC0001,062101,1998,02,48.4,N
IDCJAC0001,062101,1998,03,0.0,N
IDCJAC0001,062101,1998,04,70.2,N
IDCJAC0001,062101,1998,05,68.2,N
IDCJAC0001,062101,1998,06,53.8,N
IDCJAC0001,062101,1998,07,143.8,N
IDCJAC0001,062101,1998,08,76.8,N
IDCJAC0001,062101,1998,09,99.6,N
IDCJAC0001,062101,1998,10,60.0,N
IDCJAC0001,062101,1998,11,78.0,N
IDCJAC0001,062101,1998,12,15.0,N
IDCJAC0001,062101,1999,01,80.2,N
IDCJAC0001,062101,1999,02,2.2,N
IDCJAC0001,062101,1999,03,89.2,N
IDCJAC0001,062101,1999,04,0.0,N
IDCJAC0001,062101,1999,05,9.2,N
IDCJAC0001,062101,1999,06,35.4,N
IDCJAC0001,062101,1999,07,29.6,N
IDCJAC0001,062101,1999,08,47.8,N
IDCJAC0001,062101,1999,09,56.2,N
IDCJAC0001,062101,1999,10,135.8,N
IDCJAC0001,062101,1999,11,57.8,N
IDCJAC0001,062101,1999,12,74.2,N
IDCJAC0001,062101,2000,01,96.4,N
IDCJAC0001,062101,2000,02,4.2,N
IDCJAC0001,062101,2000,03,187.0,N
IDCJAC0001,062101,2000,04,108.4,N
IDCJAC0001,062101,2000,05,91.6,N
IDCJAC0001,062101,2000,06,28.8,N
IDCJAC0001,062101,2000,07,34.2,N
IDCJAC0001,062101,2000,08,61.6,N
IDCJAC0001,062101,2000,09,29.2,N
IDCJAC0001,062101,2000,10,126.8,N
IDCJAC0001,062101,2000,11,122.2,N
IDCJAC0001,062101,2000,12,26.2,N
IDCJAC0001,062101,2001,01,47.0,N
IDCJAC0001,062101,2001,02,42.4,N
IDCJAC0001,062101,2001,03,53.8,N
IDCJAC0001,062101,2001,04,52.6,N
IDCJAC0001,062101,2001,05,23.0,N
IDCJAC0001,062101,2001,06,27.0,N
IDCJAC0001,062101,2001,07,57.0,N
IDCJAC0001,062101,2001,08,22.4,N
IDCJAC0001,062101,2001,09,50.2,N
IDCJAC0001,062101,2001,10,99.2,N
IDCJAC0001,062101,2001,11,43.4,N
IDCJAC0001,062101,2001,12,67.2,N
IDCJAC0001,062101,2002,01,38.0,N
IDCJAC0001,062101,2002,02,153.6,N
IDCJAC0001,062101,2002,03,55.2,N
IDCJAC0001,062101,2002,04,15.0,N
IDCJAC0001,062101,2002,05,44.4,N
