Product code,Bureau of Meteorology station number,Year,Month,Mean maximum temperature (°C),Quality
IDCJAC0002,062101,1991,12,26.8,Y
IDCJAC0002,062101,1992,01,30.1,Y
IDCJAC0002,062101,1992,02,25.4,Y
IDCJAC0002,062101,1992,03,24.9,Y
IDCJAC0002,062101,1992,04,19.5,Y
IDCJAC0002,062101,1992,05,15.3,Y
IDCJAC0002,062101,1992,06,11.5,Y
IDCJAC0002,062101,1992,07,15.2,Y
IDCJAC0002,062101,1992,08,14.7,Y
IDCJAC0002,062101,1992,09,16.7,Y
IDCJAC0002,062101,1992,10,21.3,Y
IDCJAC0002,062101,1992,11,23.0,Y
IDCJAC0002,062101,1992,12,25.5,Y
IDCJAC0002,062101,1993,01,31.8,Y
IDCJAC0002,062101,1993,02,30.3,Y
IDCJAC0002,062101,1993,03,25.7,Y
IDCJAC0002,062101,1993,04,25.3,Y
IDCJAC0002,062101,1993,05,19.4,Y
IDCJAC0002,062101,1993,06,14.4,Y
IDCJAC0002,062101,1993,07,15.8,Y
IDCJAC0002,062101,1993,08,17.3,Y
IDCJAC0002,062101,1993,09,17.8,Y
IDCJAC0002,062101,1993,10,20.6,Y
IDCJAC0002,062101,1993,11,25.0,Y
IDCJAC0002,062101,1993,12,27.0,Y
IDCJAC0002,062101,1994,01,31.8,Y
IDCJAC0002,062101,1994,02,29.7,Y
IDCJAC0002,062101,1994,03,24.3,Y
IDCJAC0002,062101,1994,04,23.6,Y
IDCJAC0002,062101,1994,05,19.2,Y
IDCJAC0002,062101,1994,06,15.3,Y
IDCJAC0002,062101,1994,07,15.3,Y
IDCJAC0002,062101,1994,08,16.6,Y
IDCJAC0002,062101,1994,09,19.7,Y
IDCJAC0002,062101,1994,10,24.1,Y
IDCJAC0002,062101,1994,11,26.4,Y
IDCJAC0002,062101,1994,12,30.2,Y
IDCJAC0002,062101,1995,01,27.3,Y
IDCJAC0002,062101,1995,02,28.2,Y
IDCJAC0002,062101,1995,03,27.1,Y
IDCJAC0002,062101,1995,04,21.0,Y
IDCJAC0002,062101,1995,05,17.7,Y
IDCJAC0002,062101,1995,06,14.6,Y
IDCJAC0002,062101,1995,07,12.2,Y
IDCJAC0002,062101,1995,08,18.7,Y
IDCJAC0002,062101,1995,09,18.2,Y
IDCJAC0002,062101,1995,10,22.9,Y
IDCJAC0002,062101,1995,11,25.7,Y
IDCJAC0002,062101,1995,12,26.6,Y
IDCJAC0002,062101,1996,01,28.1,Y
IDCJAC0002,062101,1996,02,26.0,Y
IDCJAC0002,062101,1996,03,26.1,Y
IDCJAC0002,062101,1996,04,22.5,Y
IDCJAC0002,062101,1996,05,19.5,Y
IDCJAC0002,062101,1996,06,15.6,Y
IDCJAC0002,062101,1996,07,12.8,Y
IDCJAC0002,062101,1996,08,14.9,Y
IDCJAC0002,062101,1996,09,18.1,Y
IDCJAC0002,062101,1996,10,21.6,Y
IDCJAC0002,062101,1996,11,23.5,Y
IDCJAC0002,062101,1996,12,26.6,Y
IDCJAC0002,062101,1997,01,27.2,Y
IDCJAC0002,062101,1997,02,29.3,Y
IDCJAC0002,062101,1997,03,27.3,Y
IDCJAC0002,062101,1997,04,25.0,Y
IDCJAC0002,062101,1997,05,18.8,Y
IDCJAC0002,062101,1997,06,15.9,Y
IDCJAC0002,062101,1997,07,14.8,Y
IDCJAC0002,062101,1997,08,15.7,Y
IDCJAC0002,062101,1997,09,18.6,Y
IDCJAC0002,062101,1997,10,23.2,Y
IDCJAC0002,062101,1997,11,30.2,Y
IDCJAC0002,062101,1997,12,31.5,Y
