Product code,Bureau of Meteorology station number,Year,Month,Mean minimum temperature (°C),Quality
IDCJAC0004,062101,1991,12,11.4,Y
IDCJAC0004,062101,1992,01,15.0,Y
IDCJAC0004,062101,1992,02,15.6,Y
IDCJAC0004,062101,1992,03,11.8,Y
IDCJAC0004,062101,1992,04,5.9,Y
IDCJAC0004,062101,1992,05,1.4,Y
IDCJAC0004,062101,1992,06,-1.2,Y
IDCJAC0004,062101,1992,07,-0.1,Y
IDCJAC0004,062101,1992,08,1.0,Y
IDCJAC0004,062101,1992,09,3.4,Y
IDCJAC0004,062101,1992,10,8.3,Y
IDCJAC0004,062101,1992,11,9.1,Y
IDCJAC0004,062101,1992,12,14.1,Y
IDCJAC0004,062101,1993,01,17.0,Y
IDCJAC0004,062101,1993,02,14.9,Y
IDCJAC0004,062101,1993,03,12.2,Y
IDCJAC0004,062101,1993,04,7.2,Y
IDCJAC0004,062101,1993,05,4.4,Y
IDCJAC0004,062101,1993,06,2.2,Y
IDCJAC0004,062101,1993,07,4.7,Y
IDCJAC0004,062101,1993,08,2.7,Y
IDCJAC0004,062101,1993,09,5.3,Y
IDCJAC0004,062101,1993,10,7.7,Y
IDCJAC0004,062101,1993,11,9.8,Y
IDCJAC0004,062101,1993,12,12.4,Y
IDCJAC0004,062101,1994,01,13.6,Y
IDCJAC0004,062101,1994,02,16.1,Y
IDCJAC0004,062101,1994,03,10.7,Y
IDCJAC0004,062101,1994,04,6.8,Y
IDCJAC0004,062101,1994,05,2.1,Y
IDCJAC0004,062101,1994,06,0.5,Y
IDCJAC0004,062101,1994,07,-0.9,Y
IDCJAC0004,062101,1994,08,-0.7,Y
IDCJAC0004,062101,1994,09,2.0,Y
IDCJAC0004,062101,1994,10,6.3,Y
IDCJAC0004,062101,1994,11,11.6,Y
IDCJAC0004,062101,1994,12,14.5,Y
IDCJAC0004,062101,1995,01,15.4,Y
IDCJAC0004,062101,1995,02,14.0,Y
IDCJAC0004,062101,1995,03,11.1,Y
IDCJAC0004,062101,1995,04,6.5,Y
IDCJAC0004,062101,1995,05,8.1,Y
IDCJAC0004,062101,1995,06,3.7,Y
IDCJAC0004,062101,1995,07,1.6,Y
IDCJAC0004,062101,1995,08,2.0,Y
IDCJAC0004,062101,1995,09,5.1,Y
IDCJAC0004,062101,1995,10,7.8,Y
IDCJAC0004,062101,1995,11,12.3,Y
IDCJAC0004,062101,1995,12,12.9,Y
IDCJAC0004,062101,1996,01,16.1,Y
IDCJAC0004,062101,1996,02,12.0,Y
